"
Jahr",Monat,Jahr & Monat,Arbeitslose,Gemeldete Arbeitsstellen,Kurzarbeiter,Kurzarbeitende Betriebe
2005,Januar,2005 Januar,5086847,190840,148399,12496
2005,Februar,2005 Februar,5288245,208619,167993,14872
2005,März,2005 März,5266085,226527,173776,15798
2005,April,2005 April,5052429,241425,158872,13941
2005,Mai,2005 Mai,4884238,257815,141953,12166
2005,Juni,2005 Juni,4780624,266694,136701,11295
2005,Juli,2005 Juli,4836693,283267,108564,9783
2005,August,2005 August,4797562,287425,89446,8477
2005,September,2005 September,4646505,292291,96188,8531
2005,Oktober,2005 Oktober,4555075,287157,102419,8369
2005,November,2005 November,4531416,271912,98021,8371
2005,Dezember,2005 Dezember,4605189,255127,83732,7878
2006,Januar,2006 Januar,5010490,259875,96113,9223
2006,Februar,2006 Februar,5047480,284718,100742,10089
2006,März,2006 März,4977588,305127,104829,10101
2006,April,2006 April,4790661,326840,83259,8320
2006,Mai,2006 Mai,4538328,353479,72048,6672
2006,Juni,2006 Juni,4398773,369046,61528,5838
2006,Juli,2006 Juli,4386260,392028,53932,5024
2006,August,2006 August,4371951,398949,47935,4484
2006,September,2006 September,4237806,401790,45979,4297
2006,Oktober,2006 Oktober,4084463,397949,38833,3713
2006,November,2006 November,3995743,387971,35519,3630
2006,Dezember,2006 Dezember,4008111,374269,63049,7534
2007,Januar,2007 Januar,4262175,374115,126257,15333
2007,Februar,2007 Februar,4225972,409468,148436,18453
2007,März,2007 März,4104788,429500,143945,18470
2007,April,2007 April,3958211,439897,51024,5610
2007,Mai,2007 Mai,3795938,445396,48308,5198
2007,Juni,2007 Juni,3672926,453724,46257,4950
2007,Juli,2007 Juli,3701000,455324,39345,4530
2007,August,2007 August,3691890,450146,32342,3998
2007,September,2007 September,3530642,436399,33658,3900
2007,Oktober,2007 Oktober,3421392,420564,35787,3965
2007,November,2007 November,3366876,397567,36660,4240
2007,Dezember,2007 Dezember,3395221,369079,77782,11362
2008,Januar,2008 Januar,3647905,351610,137759,19056
2008,Februar,2008 Februar,3606079,376465,161090,22020
2008,März,2008 März,3496864,392657,155523,21270
2008,April,2008 April,3403667,395069,59066,6387
2008,Mai,2008 Mai,3274026,398188,50973,5383
2008,Juni,2008 Juni,3151679,417953,50411,5110
2008,Juli,2008 Juli,3201841,422535,42694,4629
2008,August,2008 August,3187764,417052,39416,4044
2008,September,2008 September,3073268,409264,49965,4212
2008,Oktober,2008 Oktober,2989231,392934,70983,4604
2008,November,2008 November,2980969,367219,130133,6592
2008,Dezember,2008 Dezember,3094150,327594,270472,17315
2009,Januar,2009 Januar,3480171,301715,593597,31368
2009,Februar,2009 Februar,3542602,317677,1079068,44526
2009,März,2009 März,3576362,317273,1324877,56215
2009,April,2009 April,3575257,305622,1446417,50627
2009,Mai,2009 Mai,3449223,298793,1468809,56932
2009,Juni,2009 Juni,3402047,297143,1393655,61149
2009,Juli,2009 Juli,3454498,297881,1247843,62212
2009,August,2009 August,3463439,300159,1054846,59234
2009,September,2009 September,3338882,301942,1104061,60842
2009,Oktober,2009 Oktober,3221207,297630,1109091,60704
2009,November,2009 November,3208044,290595,981782,60748
2009,Dezember,2009 Dezember,3268167,281258,928843,66681
2010,Januar,2010 Januar,3610046,271401,1056942,78267
2010,Februar,2010 Februar,3635346,297979,1030831,83598
2010,März,2010 März,3560493,320129,874346,77418
2010,April,2010 April,3400163,335163,632008,54027
2010,Mai,2010 Mai,3236363,355702,498934,48596
2010,Juni,2010 Juni,3148611,370430,419515,44354
2010,Juli,2010 Juli,3186929,391101,313087,38444
2010,August,2010 August,3183217,396705,243736,33968
2010,September,2010 September,3026830,397972,237342,32271
2010,Oktober,2010 Oktober,2941020,400937,231299,30306
2010,November,2010 November,2926971,394514,215044,29204
2010,Dezember,2010 Dezember,3011586,380139,279249,39003
2011,Januar,2011 Januar,3345974,375022,321589,42123
2011,Februar,2011 Februar,3313207,417512,305430,41682
2011,März,2011 März,3211229,442332,245803,35261
2011,April,2011 April,3078569,461129,133166,18810
2011,Mai,2011 Mai,2960620,470092,121548,16016
2011,Juni,2011 Juni,2893990,479527,109754,13476
2011,Juli,2011 Juli,2939945,492290,80830,10974
2011,August,2011 August,2945545,497139,71281,9252
2011,September,2011 September,2796310,501572,75963,8752
2011,Oktober,2011 Oktober,2737666,499845,80590,8169
2011,November,2011 November,2713813,491950,85124,8273
2011,Dezember,2011 Dezember,2780984,467052,140206,14764
2012,Januar,2012 Januar,3084711,451919,206331,20002
2012,Februar,2012 Februar,3110442,473176,229572,23035
2012,März,2012 März,3028414,490904,166812,18613
2012,April,2012 April,2963570,499001,82537,6271
2012,Mai,2012 Mai,2855270,499217,77077,5418
2012,Juni,2012 Juni,2809107,499167,70529,5020
2012,Juli,2012 Juli,2875971,499847,53995,4408
2012,August,2012 August,2905113,493380,47141,3846
2012,September,2012 September,2788249,484507,65796,4070
2012,Oktober,2012 Oktober,2753361,468074,84662,4484
2012,November,2012 November,2751485,450605,97845,5167
2012,Dezember,2012 Dezember,2839824,420537,155810,12906
2013,Januar,2013 Januar,3138232,420012,234153,19954
2013,Februar,2013 Februar,3156246,448442,245109,21977
2013,März,2013 März,3097817,462660,222387,21728
2013,April,2013 April,3020275,460197,113342,8042
2013,Mai,2013 Mai,2936915,457010,86447,6611
2013,Juni,2013 Juni,2864666,458732,98672,8105
2013,Juli,2013 Juli,2914096,468686,81001,6368
2013,August,2013 August,2945710,470938,60167,5284
2013,September,2013 September,2848950,472550,69565,5220
2013,Oktober,2013 Oktober,2801191,466033,82594,5203
2013,November,2013 November,2806146,457996,80161,5412
2013,Dezember,2013 Dezember,2873806,440443,114135,10669
2014,Januar,2014 Januar,3135802,425198,188998,17531
2014,Februar,2014 Februar,3137867,456229,193313,18842
2014,März,2014 März,3054722,475714,151814,16685
2014,April,2014 April,2943335,485334,77190,5673
2014,Mai,2014 Mai,2882029,481436,72090,5308
2014,Juni,2014 Juni,2832780,494628,66211,4730
2014,Juli,2014 Juli,2871351,501968,53731,4343
2014,August,2014 August,2901823,515092,44366,3666
2014,September,2014 September,2807806,518317,50648,3915
2014,Oktober,2014 Oktober,2732769,517432,61119,4159
2014,November,2014 November,2716852,514599,63391,4490
2014,Dezember,2014 Dezember,2763521,497768,107053,11213
2015,Januar,2015 Januar,3031604,485172,168813,17449
2015,Februar,2015 Februar,3017003,518890,183230,19254
2015,März,2015 März,2931505,542049,154433,17493
2015,April,2015 April,2842844,551595,66744,4866
2015,Mai,2015 Mai,2761696,556784,57367,4359
2015,Juni,2015 Juni,2711187,572200,58710,4281
2015,Juli,2015 Juli,2772642,588677,...,...
2015,August,2015 August,2795597,596542,...,...
2015,September,2015 September,2708043,599573,...,...
2015,Oktober,2015 Oktober,2649277,612236,...,...
